event	round	period	count	skid	ip	error
br_inst_retired.cond:u	1	1000000	1000021	21	0x400b58	
br_inst_retired.cond:u	2	1000000	1000021	21	0x400b58	
br_inst_retired.cond:u	3	1000000	1000021	21	0x400b48	
br_inst_retired.cond:u	4	1000000	1000021	21	0x400b58	
br_inst_retired.cond:u	5	1000000	1000021	21	0x400b56	
br_inst_retired.cond:u	6	1000000	1000021	21	0x400b58	
br_inst_retired.cond:u	7	1000000	1000021	21	0x400b58	
br_inst_retired.cond:u	8	1000000	1000021	21	0x400b58	
br_inst_retired.cond:u	9	1000000	1000021	21	0x400b58	
br_inst_retired.cond:u	10	1000000	1000021	21	0x400b58	
br_inst_retired.cond_ntaken:u	1	1000000	1000011	11	0x400c40	
br_inst_retired.cond_ntaken:u	2	1000000	1000013	13	0x400c4b	
br_inst_retired.cond_ntaken:u	3	1000000	1000012	12	0x400c42	
br_inst_retired.cond_ntaken:u	4	1000000	1000012	12	0x400c42	
br_inst_retired.cond_ntaken:u	5	1000000	1000012	12	0x400c42	
br_inst_retired.cond_ntaken:u	6	1000000	1000012	12	0x400c42	
br_inst_retired.cond_ntaken:u	7	1000000	1000012	12	0x400c42	
br_inst_retired.cond_ntaken:u	8	1000000	1000012	12	0x400c42	
br_inst_retired.cond_ntaken:u	9	1000000	1000013	13	0x400c59	
br_inst_retired.cond_ntaken:u	10	1000000	1000013	13	0x400c59	
br_inst_retired.cond_taken:u	1	1000000	1000005	5	0x400b6c	
br_inst_retired.cond_taken:u	2	1000000	1000005	5	0x400b6c	
br_inst_retired.cond_taken:u	3	1000000	1000005	5	0x400b6c	
br_inst_retired.cond_taken:u	4	1000000	1000005	5	0x400b6c	
br_inst_retired.cond_taken:u	5	1000000	1000005	5	0x400b6c	
br_inst_retired.cond_taken:u	6	1000000	1000005	5	0x400b6c	
br_inst_retired.cond_taken:u	7	1000000	1000005	5	0x400b6c	
br_inst_retired.cond_taken:u	8	1000000	1000005	5	0x400b6c	
br_inst_retired.cond_taken:u	9	1000000	1000005	5	0x400b6c	
br_inst_retired.cond_taken:u	10	1000000	1000005	5	0x400b6c	
br_inst_retired.indirect:u	1	50000	50000	0	0x400b60	
br_inst_retired.indirect:u	2	50000	50000	0	0x400b60	
br_inst_retired.indirect:u	3	50000	50000	0	0x400b60	
br_inst_retired.indirect:u	4	50000	50000	0	0x400b60	
br_inst_retired.indirect:u	5	50000	50000	0	0x400b60	
br_inst_retired.indirect:u	6	50000	50000	0	0x400b60	
br_inst_retired.indirect:u	7	50000	50000	0	0x400b60	
br_inst_retired.indirect:u	8	50000	50000	0	0x400b60	
br_inst_retired.indirect:u	9	50000	50000	0	0x400b60	
br_inst_retired.indirect:u	10	50000	50000	0	0x400b60	
br_inst_retired.near_call:u	1	100000	100000	0	0x400b60	
br_inst_retired.near_call:u	2	100000	100000	0	0x400b60	
br_inst_retired.near_call:u	3	100000	100000	0	0x400b60	
br_inst_retired.near_call:u	4	100000	100000	0	0x400b60	
br_inst_retired.near_call:u	5	100000	100000	0	0x400b60	
br_inst_retired.near_call:u	6	100000	100000	0	0x400b60	
br_inst_retired.near_call:u	7	100000	100000	0	0x400b60	
br_inst_retired.near_call:u	8	100000	100000	0	0x400b60	
br_inst_retired.near_call:u	9	100000	100000	0	0x400b60	
br_inst_retired.near_call:u	10	100000	100000	0	0x400b60	
br_inst_retired.near_return:u	1	100000	100000	0	0x400b60	
br_inst_retired.near_return:u	2	100000	100000	0	0x400b60	
br_inst_retired.near_return:u	3	100000	100000	0	0x400b60	
br_inst_retired.near_return:u	4	100000	100000	0	0x400b60	
br_inst_retired.near_return:u	5	100000	100000	0	0x400b60	
br_inst_retired.near_return:u	6	100000	100000	0	0x400b60	
br_inst_retired.near_return:u	7	100000	100000	0	0x400b60	
br_inst_retired.near_return:u	8	100000	100000	0	0x400b60	
br_inst_retired.near_return:u	9	100000	100000	0	0x400b60	
br_inst_retired.near_return:u	10	100000	100000	0	0x400b60	
br_inst_retired.near_taken:u	1	1000000	1000015	15	0x400b60	
br_inst_retired.near_taken:u	2	1000000	1000016	16	0x400b60	
br_inst_retired.near_taken:u	3	1000000	1000015	15	0x400b60	
br_inst_retired.near_taken:u	4	1000000	1000014	14	0x400b60	
br_inst_retired.near_taken:u	5	1000000	1000007	7	0x400b4d	
br_inst_retired.near_taken:u	6	1000000	1000006	6	0x400b58	
br_inst_retired.near_taken:u	7	1000000	1000006	6	0x400b58	
br_inst_retired.near_taken:u	8	1000000	1000007	7	0x400b4d	
br_inst_retired.near_taken:u	9	1000000	1000008	8	0x400b58	
br_inst_retired.near_taken:u	10	1000000	1000006	6	0x400b58	
cpu_clk_unhalted.c0_wait:u	1	1000000	1000032	32	0x40311d	
